sas_column,description,data_type,worksheet_code,worksheet_name,line_num,column_num,column_header,category,subcategory
E4_C1_39,Line 39 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,03900,00100,Amount / Factor,nan,nan
E4_C1_402,Line 4.02 | Col 1,NUMERIC,E40A180,E-4: DSH Payment Adjustment,00402,00100,Amount / Factor,nan,nan
E4_C2_15,Line 15 | Col 2,NUMERIC,E40A180,E-4: DSH Payment Adjustment,01500,00200,Secondary Amount,nan,nan
E4_C2_16,Line 16 | Col 2,NUMERIC,E40A180,E-4: DSH Payment Adjustment,01600,00200,Secondary Amount,nan,nan
E4_C3_20,Line 20 | Col 3,NUMERIC,E40A180,E-4: DSH Payment Adjustment,02000,00300,Computed Value,nan,nan
E4_C3_21,Line 21 | Col 3,NUMERIC,E40A180,E-4: DSH Payment Adjustment,02100,00300,Computed Value,nan,nan
E4_C3_22,Line 22 | Col 3,NUMERIC,E40A180,E-4: DSH Payment Adjustment,02200,00300,Computed Value,nan,nan
E4_C3_23,Line 23 | Col 3,NUMERIC,E40A180,E-4: DSH Payment Adjustment,02300,00300,Computed Value,nan,nan
E4_C3_24,Line 24 | Col 3,NUMERIC,E40A180,E-4: DSH Payment Adjustment,02400,00300,Computed Value,nan,nan
E4_C3_25,Line 25 | Col 3,NUMERIC,E40A180,E-4: DSH Payment Adjustment,02500,00300,Computed Value,nan,nan
E_A_HOS_C101_1,Hospital | Line 1 | Col 101,NUMERIC,E00A18A,"E, Part A: Settlement - Hospital",00100,00101,CALCULATION OF REIMBURSEMENT SETTLEMENT (PPS),nan,nan
